mid,formula,site_index,cation,anion,cn,q,r0,b,n_shells_in_material,shell_weight,R_1,R_2,R_3,R_4,R_5,R_6
mp-1040140,LiLaMg30O32,0,Li,O,6,1,3.21367880228,-0.567935899452,1,1,2.18532438021,2.18532438021,2.18532438021,2.18532438021,2.21698225347,2.21698225347
mp-1040143,LiCeMg30O32,0,Li,O,6,1,2.74110560353,-0.301177806637,1,1,2.19576672007,2.19576672007,2.19576672007,2.19576672007,2.21255496825,2.21255496825
mp-1040156,LiCeMg30O32,0,Li,O,6,1,3.48242637891,-0.732763168824,1,1,2.03954719749,2.03954719749,2.22673286394,2.22673286394,2.22673286394,2.22673286394
mp-1040361,LiMg30TiO32,0,Li,O,6,1,1.57228454146,0.342995700874,1,1,2.17422330189,2.17422330189,2.19334256242,2.19334256242,2.19334256242,2.19334256242
mp-1045540,Li3Mn4O8,0,Li,O,6,1,1.68585626135,0.276719497233,3,0.333333333333,2.08406474048,2.11715114558,2.13004411079,2.15938658785,2.18374755851,2.54434258109
mp-1045540,Li3Mn4O8,1,Li,O,6,1,1.68585626135,0.276719497233,3,0.333333333333,2.14023017601,2.17001742312,2.1762986117,2.17692574377,2.17835984864,2.19584256022
mp-1045540,Li3Mn4O8,2,Li,O,6,1,1.68585626135,0.276719497233,3,0.333333333333,2.13700039256,2.16567777274,2.17921295116,2.18153710843,2.18252629136,2.19183635786
mp-1045574,Li3(NiO2)4,0,Li,O,6,1,1.59815227582,0.279490036405,6,0.166666666667,2.09816201993,2.09816201993,2.09816201993,2.09816201993,2.20053776117,2.20053776117
mp-1045574,Li3(NiO2)4,1,Li,O,6,1,1.59815227582,0.279490036405,6,0.166666666667,2.05874868003,2.05874868003,2.06773458438,2.06773458438,2.0923432266,2.0923432266
mp-1045574,Li3(NiO2)4,2,Li,O,6,1,1.59815227582,0.279490036405,6,0.166666666667,2.05874868003,2.05874868003,2.06773458438,2.06773458438,2.0923432266,2.0923432266
mp-1045574,Li3(NiO2)4,3,Li,O,6,1,1.59815227582,0.279490036405,6,0.166666666667,2.09816201993,2.09816201993,2.09816201993,2.09816201993,2.20053776117,2.20053776117
mp-1045574,Li3(NiO2)4,4,Li,O,6,1,1.59815227582,0.279490036405,6,0.166666666667,2.05874868003,2.05874868003,2.06773458438,2.06773458438,2.0923432266,2.0923432266
mp-1045574,Li3(NiO2)4,5,Li,O,6,1,1.59815227582,0.279490036405,6,0.166666666667,2.05874868003,2.05874868003,2.06773458438,2.06773458438,2.0923432266,2.0923432266
mp-1095705,LiMg30TiO32,0,Li,O,6,1,1.59996981354,0.331056519082,1,1,2.16728206638,2.16728206638,2.16728206638,2.16728206638,2.25185104827,2.25185104827
mp-1100477,Li9Mn7O16,0,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.13093256368,2.13093256368,2.14097347113,2.14097347113,2.16160167978,2.1999648635
mp-1100477,Li9Mn7O16,1,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.13093256368,2.13093256368,2.14097347113,2.14097347113,2.16160167978,2.1999648635
mp-1100477,Li9Mn7O16,2,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.0015227812,2.0015227812,2.17322187861,2.18919677179,2.22019712493,2.22019712493
mp-1100477,Li9Mn7O16,3,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.12349385004,2.14070351666,2.14070351666,2.15536389921,2.15536389921,2.39261136759
mp-1100477,Li9Mn7O16,4,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.14401715728,2.14401715728,2.15346992228,2.15346992228,2.23250031373,2.40714824591
mp-1100477,Li9Mn7O16,5,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.14401715728,2.14401715728,2.15346992228,2.15346992228,2.23250031373,2.40714824591
mp-1100477,Li9Mn7O16,6,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.0015227812,2.0015227812,2.17322187861,2.18919677179,2.22019712493,2.22019712493
mp-1100477,Li9Mn7O16,7,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.12349385004,2.14070351666,2.14070351666,2.15536389921,2.15536389921,2.39261136759
mp-1100477,Li9Mn7O16,8,Li,O,6,1,2.10929324819,0.0390569020344,9,0.111111111111,2.07587972496,2.07587972496,2.07587972496,2.07587972496,2.2379249254,2.2379249254
mp-1100479,Li9Mn7O16,0,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,2.08609712849,2.08609712849,2.09846474864,2.11441297838,2.11441297838,2.19623198344
mp-1100479,Li9Mn7O16,1,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,1.96840184914,1.96840184914,2.10892306775,2.13563355209,2.14766271385,2.14766271385
mp-1100479,Li9Mn7O16,2,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,2.03595917002,2.09048735023,2.09048735023,2.09491722081,2.09491722081,2.4845069393
mp-1100479,Li9Mn7O16,3,Li,O,6,1,2.04626746414,0.0504654043946,9,0.111111111111,2.03595917002,2.09048735023,2.09048735023,2.09491722081,2.09491722081,2.4845069393
